Island	W_1	W_2	W_3	W_4	W_5
SMB-ANK-004_firstBatch	Sumba	-2.12693626966419	-2.91381108886862	-0.450066280260657	1.89347511183857	-1.57768130322853
SMB-ANK-005_firstBatch	Sumba	-2.22467718993202	-2.90908772228111	-0.474364142452094	1.98679967146172	-1.56191240726975
SMB-ANK-006_firstBatch	Sumba	-2.06702106838687	-2.81985434877864	-0.707365318516725	2.04397819737426	-1.54246094574211
SMB-ANK-007_firstBatch	Sumba	-2.06260223211925	-2.82931866669826	-0.651602881423864	1.93234163435325	-1.53790151579545
SMB-ANK-009_firstBatch	Sumba	-2.08012933028083	-2.84736375851906	-0.467395445790684	1.82439460036768	-1.5411151051432
SMB-ANK-011_firstBatch	Sumba	-2.08016375903797	-2.83683117054067	-0.524664978185346	2.00589943634942	-1.57970702771685
SMB-ANK-013_firstBatch	Sumba	-2.12884860679107	-2.72053219134447	-0.320327334720159	1.82642125033864	-1.51752165203187
SMB-ANK-015_firstBatch	Sumba	-2.01718912925605	-2.88234629989697	-0.566644334647026	1.88130782189921	-1.55446649342003
SMB-ANK-019_firstBatch	Sumba	-2.11142996195092	-2.86481011921345	-0.451571818816508	1.9426701568309	-1.56823217774936
SMB-ANK-024_firstBatch	Sumba	-2.04212976676544	-2.87633899650895	-0.582202564162964	1.91249652554846	-1.59812481738422
SMB-ANK-026_firstBatch	Sumba	-2.08794172454344	-2.7703979630291	-0.489718463396843	1.85609976894701	-1.48004487360704
SMB-ANK-027_firstBatch	Sumba	-2.11339186299069	-2.82736419198974	-0.603835285403113	2.08172298163004	-1.98878186415261
SMB-ANK-028_firstBatch	Sumba	-2.1024956576697	-2.6735146369922	-0.623253819859719	1.93702340301925	-1.48980691838548
SMB-ANK-029_firstBatch	Sumba	-1.99620238254902	-2.85896906703952	-0.740912984705197	2.00889930357137	-1.49648485358841
SMB-ANK-030_firstBatch	Sumba	-2.21015358867847	-2.98464777918001	-0.392863556282625	1.88921173666984	-1.48624251665345
SMB-WNG-002_firstBatch	Sumba	-2.10439245621429	-2.92228270462948	-0.542356219341412	1.99169338755511	-1.55705123153459
SMB-WNG-003_firstBatch	Sumba	-2.05012672241662	-2.6860326685107	-0.549247437694834	1.95238204123592	-1.52444567967005
SMB-WNG-004_firstBatch	Sumba	-2.1491796405412	-2.75422236272911	-0.534844313291145	1.98012268601429	-1.50125609454001
SMB-WNG-006_firstBatch	Sumba	-2.11757501978263	-2.85796367821691	-0.613289284334824	2.04232618032636	-1.56134846061147
SMB-WNG-007_firstBatch	Sumba	-2.00248986154941	-2.77579671860892	-0.619603181829918	2.04331910905776	-1.52246941597929
SMB-WNG-009_firstBatch	Sumba	-2.10192365172637	-2.8941973261805	-0.534652283763521	2.0120743624215	-1.55237398667649
SMB-WNG-012_firstBatch	Sumba	-2.30073304030433	-2.98808366032509	-0.472746227553493	2.11855104921559	-1.44742131907226
SMB-WNG-014_firstBatch	Sumba	-2.13586497063106	-2.96159455891517	-0.691148844870947	2.11730710349568	-1.51156396508518
SMB-WNG-017_firstBatch	Sumba	-2.15942622122543	-2.7888363452373	-0.497165518449958	1.96338258036029	-1.48938281042366
SMB-WNG-018_firstBatch	Sumba	-1.95938542374155	-2.65621854973143	-0.663969797643279	1.95865745928198	-1.50921455613384
SMB-WNG-020_firstBatch	Sumba	-2.07456654056007	-2.82470438752303	-0.557655783651818	1.94580704791695	-1.51408040656581
SMB-WNG-021_firstBatch	Sumba	-2.14431770164295	-2.6635844584302	-0.479929367901485	1.54159851502675	-1.10454989858472
SMB-WNG-022_firstBatch	Sumba	-2.07502830317899	-2.76876485389859	-0.621228713384219	1.97290146686049	-1.51516048243903
SMB-WNG-023_firstBatch	Sumba	-2.09697811138493	-2.77074702647763	-0.630719465936633	2.02605173134471	-1.50319207834722
SMB-WNG-028_firstBatch	Sumba	-2.18244133770949	-2.98662756768821	-0.424215820997602	1.92667558726193	-1.54234416112375
MPI-334_secondBatch	West Papua	-1.40467018463349	-2.48713126626527	-0.54284119673641	2.03906355073601	-1.56169572431879
MPI-345_secondBatch	West Papua	-1.60134881843	-2.62842238205861	-0.49465064039393	2.08393841420164	-1.52189560665988
MPI-378_secondBatch	West Papua	-1.50635033476949	-2.39025666570912	-0.545306934404305	2.05572930774396	-1.47946796574484
MTW-MDB-003_secondBatch	Mentawai	-1.64512531864409	-2.641533244685	-0.448752297012301	2.11450190279672	-1.53227908646456
MTW-TLL-002_secondBatch	Mentawai	-1.42343303597036	-2.55332049079192	-0.653395157771223	2.08951245998494	-1.47350974218859
MTW-TLL-006_secondBatch	Mentawai	-1.48039939528058	-2.60589499072794	-0.653024401924194	2.1632828041838	-1.47968840160507
MTW-TLL-010_secondBatch	Mentawai	-1.34032103649569	-2.52351971850857	-0.649408515095013	2.03076480321081	-1.48083550363369
MTW-TLL-011_secondBatch	Mentawai	-1.34404334968862	-2.44384048697226	-0.775481333965269	2.05218677347786	-1.47211636028902
MTW-TLL-012_secondBatch	Mentawai	-1.32533020792663	-2.36226586841077	-0.612659095096174	1.99414484605788	-1.46717767564108
MTW-TLL-013_secondBatch	Mentawai	-1.49854905554759	-2.53318587747112	-0.522984416497343	2.24960028996297	-1.37401372263951
MTW-TLL-021_secondBatch	Mentawai	-1.20533501766374	-2.36760912221136	-0.684210498579704	1.96084750602113	-1.51950020545372
MTW-TLL-027_secondBatch	Mentawai	-1.09006085275546	-2.23270624606272	-0.772545921018171	1.89598916202849	-1.57394309816044
MTW-TLL-030_secondBatch	Mentawai	-1.39127842380853	-2.42775679103867	-0.65381200548716	1.99076997943029	-1.47319096619833
MTW-TLL-032_secondBatch	Mentawai	-1.75272921572453	-2.80148900344106	-0.310201518075655	2.07251196737499	-1.50503819000017
MTW-TLL-035_secondBatch	Mentawai	-1.57053914110796	-2.56807616671089	-0.560220353873642	2.01314532782131	-1.41475623147689
MTW-TLL-037_secondBatch	Mentawai	-1.37852711057503	-2.5126553625771	-0.697028287361424	2.09486874152253	-1.51739039722684
MTW-TLL-040_secondBatch	Mentawai	-1.31014410784049	-2.46343409145515	-0.622428652856365	2.00350003711214	-1.52967736791013
MTW-TLL-041_secondBatch	Mentawai	-1.24510263376884	-2.29395039062514	-0.789687381826195	2.10186792489482	-1.45187828979509
MTW-TLL-042_secondBatch	Mentawai	-1.36766245991152	-2.52690240336677	-0.637752899414739	2.07393971861543	-1.5155203171445
SMB-ANK-003_secondBatch	Sumba	-1.5878175351725	-2.61221690595915	-0.511463398208565	2.19383496657317	-1.47932322877129
SMB-ANK-016_secondBatch	Sumba	-1.68678270126485	-2.593784526828	-0.309996244121807	2.39512977082519	-1.39119718581233
SMB-ANK-027_secondBatch	Sumba	-1.13684440765406	-1.9723313325914	-0.639067399306373	1.69482969125346	-1.71394131374818
SMB-WNG-001_secondBatch	Sumba	-1.86541350377619	-2.70396771611339	-0.290578692501877	2.09997994887929	-1.45980159499438
MPI-381_thirdBatch	West Papua	-1.76848297918469	-3.2640016397535	0.0974094336870215	1.92142770592831	-1.50225482704054
MTW-TLL013_thirdBatch	Mentawai	-1.48357249710911	-3.0704589138917	-0.870734998403955	1.84167570602874	-1.6366525493514
SMB-ANK016_thirdBatch	Sumba	-1.40211076398647	-3.00360180752446	-0.698522823222811	1.42622136166622	-1.7504372713534
SMB-ANK027_thirdBatch	Sumba	-1.28175471417454	-2.97786090022219	-0.976606535287635	2.10039421028085	-0.919549778611473
SMB-BKB008_thirdBatch	Sumba	-1.79066595905431	-3.10949459330484	-0.386305496492604	1.83174920005765	-1.5984386850673
SMB-HPM006_thirdBatch	Sumba	-2.21803994836401	-3.52400010180243	-0.0376692063830114	2.02719252815497	-1.45145151233113
SMB-HPM016_thirdBatch	Sumba	-1.68544983453184	-3.08404666149467	-0.486129952183737	2.02091986839412	-1.49103324616539
SMB-HPM018_thirdBatch	Sumba	-1.57888364051314	-3.00183923253352	-0.486686352355763	1.98609108953501	-1.49125956852941
SMB-HPM021_thirdBatch	Sumba	-1.47065284772096	-2.86445629882316	-0.60207282995018	2.01228908846319	-1.55225367912617
SMB-HPM027_thirdBatch	Sumba	-1.83494069213269	-3.12043814157856	-0.379316719774626	1.99716178541557	-1.53187011568906
SMB-PDT001_thirdBatch	Sumba	-1.68576822012635	-3.13303132652513	-0.359699388948553	1.97337486157846	-1.51230059892392
SMB-PDT007_thirdBatch	Sumba	-1.69314508171781	-2.94899972713609	-0.472449614960336	2.03113120236599	-1.55013804095713
SMB-PDT036_thirdBatch	Sumba	-1.7219671538488	-3.03165237725938	-0.364227233534404	1.91593887653132	-1.50865469913087
SMB-PTB028_thirdBatch	Sumba	-1.56797310485623	-2.85738493702856	-0.608233763260514	2.04567038121419	-1.48847371600978
SMB-RIN003_thirdBatch	Sumba	-1.55107849479423	-2.78525284972055	-0.657587115469878	1.90560125379236	-1.45717701616312
SMB-RIN009_thirdBatch	Sumba	-1.36462679309574	-2.73554630408982	-0.83875683919396	2.09119616586407	-1.47301209985966
SMB-RIN014_thirdBatch	Sumba	-1.53018949523275	-2.98360457536346	-0.5720581624876	1.93861285992054	-1.52886131084699
SMB-RIN016_thirdBatch	Sumba	-1.40012155428643	-2.84943388541479	-0.723806405017096	1.98580448447096	-1.46338310234529
SMB-RIN019_thirdBatch	Sumba	-1.46651917804381	-3.00818408777593	-0.484505529752366	1.90836254964838	-1.56795442979035
SMB-WHB024_thirdBatch	Sumba	-1.60267814377783	-3.15754443728221	-0.296733085118707	1.88344497888127	-1.54226722910607
SMB-WNG021_thirdBatch	Sumba	-1.34388269305449	-2.94685845548091	-0.715453795937576	2.34541585106057	-1.85789271702321
