PC	batch	Island	Sampling.Site	Language	Sampling.Date	Age	RNA.Extraction.Batch	Sequencing.pool	RIN	Mappi	Season	Gran	Bcell	CD4T	CD8T	NK	Mono	replicate	Variance
11	0.548232537675319	0.526245359894847	0.061915647926831	0.11869580858972	0.123735171900756	0.0289853198976388	0.234918095898374	0.528997556085762	0.860615400326586	0.258730754435979	0.258730754435979	0.898872987871071	3.54327122575153e-06	0.417632889877322	0.826977237863078	0.0413965328958262	0.179060553068673	0.403411717283876	0.0131264403436531
12	0.953759504925796	0.012593868327359	0.105092532895365	0.119474552443767	0.00867129544969927	0.0234621656909126	0.0518898548418921	0.553978637747284	0.988350723426969	0.0594524371900324	0.0594524371900324	0.784271644486069	0.785799471518898	0.0178987324992973	0.430161361393043	0.0480503216837855	0.848991620035401	0.0391777665353912	0.0123452750688557
13	0.325100653300461	0.378138454039816	0.128886977818943	0.221482693126113	0.0712867606244849	0.249662021217964	0.322131390657635	0.661562573814741	0.105950466537125	0.162275456431651	0.162275456431651	0.405083339179539	0.0460362476221293	0.561608170872509	0.497071481614893	0.331624062739196	0.768336578440554	0.0782118893522717	0.0108339366310287
14	1.43827843193286e-06	0.445490991738814	0.133382712671154	0.0860445282519867	0.160926902363593	0.608868589645	0.53103174135264	3.44428515751569e-06	0.0379212368983914	0.590952000788229	0.590952000788229	0.98546208185772	0.00979193800367036	0.832239907497978	0.193211290252263	0.0186847427608131	0.536393806394074	0.0075494267052449	0.0102708409091997
15	0.320634370704346	0.0240748063346546	0.188372181285881	0.219021676306112	0.256906649256729	0.927352782391909	0.164091032896371	0.0150776629525264	0.199500031211455	0.950287540273891	0.950287540273891	0.591142492551344	0.00409001177901196	0.107643872748088	0.00121973018511481	0.803270642966077	0.191110389453926	0.479098631617445	0.00882500637067706
16	0.363473824325019	0.614801880215258	0.0636994206231337	0.116240160803086	0.104402959835983	0.877777414217836	0.283673734052687	0.557835234580785	0.11987187163249	0.439089083886129	0.439089083886129	0.653302340930292	0.0337213179555127	0.362398412008158	0.602503484510885	0.422897463856127	0.793960176532193	0.0033148272129023	0.00760190141511159
17	0.885206774366714	0.834056111886116	0.260352965322009	0.281340691448056	0.31271872837208	0.0341668468362947	0.761628102335565	0.480256313275976	0.544859077118029	0.744376287098554	0.744376287098554	0.605262685422098	0.10973139045451	0.800187333200023	0.459839504138276	0.224007178330847	0.294930775577685	0.820312184967378	0.00735331799583819
18	0.180531622609157	0.133069179464471	0.1253885621501	0.178758251688986	0.203047693815112	0.753599111902865	0.519066900394197	0.383406204961057	0.491610724015994	0.840380068703547	0.840380068703547	0.899494710926375	0.125503832042614	0.811652574456003	0.0372072872191212	0.579348678407244	0.195128814026117	0.81239467654157	0.00717065176396361
19	0.722798108268814	0.0192036761631955	0.0895833597701802	0.0773990350942787	0.0162134950598688	0.876748106113491	0.374841696990229	0.0293249541177012	0.295572506183513	0.00545951088002938	0.00545951088002938	0.857909702621075	0.810447767971256	0.316893250143035	0.288656475599124	0.995107043927187	0.416707046216384	0.88287001877523	0.00666329418308861
20	0.255533100616643	0.705735565905047	0.0254235780022067	0.0564435099477252	0.0411895399085971	0.442290377116225	0.872372736943293	0.153100911576966	0.366956122579183	0.403645306765143	0.403645306765143	0.662398263108493	0.275473587961052	0.423764641975292	0.0518169595230038	0.0898270053588788	0.553574182342282	0.946224010457596	0.00628015299886006
21	0.594645128908077	0.317365238893077	0.000264796947380515	0.0001612724373936	0.000112285315209928	0.711799819546224	0.00440508020751213	0.00283397749268969	0.529947448270899	0.501082563373133	0.501082563373133	0.790724187742968	0.656324955644612	0.97266901849753	0.425259063672153	0.633230788923424	0.908244880653553	0.00346711436294399	0.00597491940495021
22	0.878359115074285	0.847694811920943	0.529419077732118	0.668205086513805	0.475575554858859	0.124973937081317	0.511791314692236	0.0547430494301807	0.200716323535229	0.60688494005022	0.60688494005022	0.98064516774069	0.905261079428627	0.505936749368215	0.524829887560659	0.973480221854675	0.666176977040719	0.420664251209705	0.00566328958294193
23	0.842487514045799	0.0155996850367799	0.0192545024464634	0.0392402074158956	0.0427268623041982	0.0322795892854132	0.264973658808832	0.508609811893698	0.0654567230047653	0.510378714341204	0.510378714341204	0.947754742879325	0.610882568221332	0.504341744844741	0.586940012458383	0.894155509141054	0.680615919953767	0.080357019078349	0.00543582032488091
24	0.714046389389934	0.463689367927099	0.59193278577181	0.685420797652095	0.201161199109638	0.911166445950357	0.149638711976817	0.0859424586317975	0.333291428298307	0.663888354085385	0.663888354085385	0.85449921788621	0.526084228077025	0.770723335571293	0.7204628365938	0.784472405105609	0.934067223152735	0.82175670674839	0.00502655327787525
25	0.724543778844309	0.358544601503783	0.516376593479533	0.531060204417362	0.607128476027907	0.648724272919072	0.352828063932776	0.659582878667652	0.10211215447154	0.369642573149978	0.369642573149978	0.961523143932498	0.801756718379827	0.748466587092419	0.973420781994302	0.0149812099061746	0.697589811711986	0.500737513396725	0.00484780984303774
26	0.954367203655405	0.236893778729338	0.163859784194236	0.121607931682407	0.175566850850348	0.138547190147407	0.0739271961922358	0.91354051434882	0.332550176458134	0.152303659566605	0.152303659566605	0.847884446103368	0.619734657236904	0.457862488828087	0.797538291935121	0.791414572769295	0.87201782562644	0.167193749475564	0.00467773327386157
27	0.84635672873114	0.82837178668438	0.555885370750733	0.52912763261678	0.707903603682675	0.143799344421191	0.65164668898069	0.352262979007672	0.164251878833187	0.556366233374138	0.556366233374138	0.962368857608192	0.64977740190992	0.57764902108177	0.115777203645537	0.442201955175041	0.814329184151034	0.984120850542004	0.00459613982553864
28	0.955624611194384	0.996571629434491	0.049707655642443	0.0249421946675201	0.0958375834998364	0.478644695258058	0.783876550294292	0.990446512052704	0.595067265896112	0.934148060161464	0.934148060161464	0.805294920643533	0.574119562161732	0.5098627832997	0.689679991959067	0.240278606539846	0.825322213464303	0.123993086750864	0.00446025766487007
