"PC" "lib.size" "batch" "Island" "Sampling.Site" "Language" "Sampling.Date" "Age" "RNA.Extraction.Batch" "Sequencing.pool" "RIN" "Mappi" "Season" "Gran" "Bcell" "CD4T" "CD8T" "NK" "Mono" "ID" "replicate" "microscopy.pos" "PCR.pos" "fract.pfpx.reads" "ind" "Variance"
"13" 13 0.941281061470772 0.909712125576665 0.220794662579185 0.406253929670284 0.511407346354226 0.542967438677308 0.434307820393505 0.873713019805544 0.747417275066762 0.736996913079226 0.0928785640967503 0.0928785640967503 0.932156355646256 0.813333303986412 0.963158604315931 0.983449533488999 0.562254604638909 0.934528147858728 4.36812346980956e-05 0.152391440528697 0.490213299512802 0.456431673426781 0.524812043949823 4.36812346980956e-05 0.0116416815972726
"14" 14 0.911949577509019 0.887735471438009 0.422836003411205 0.423790862664428 0.400295840616065 0.166779689008734 0.531872569276504 0.00807348225884436 0.339789854071083 0.661252649506965 0.299953265724007 0.299953265724007 0.869987539974481 0.850871426279811 0.928770881149367 0.993880480880332 0.747173763158651 0.816998824043697 0.000444088073319977 0.805226317767636 0.972895821244039 0.649186584602342 0.810746988028835 0.000444088073319977 0.0111836324072489
"15" 15 0.039765105614883 0.991891300981912 0.780668977968998 0.108229032130292 0.0188537522324635 0.0659521192131675 0.77566647617032 0.0377661808946083 0.0186099823211025 0.944499396854973 0.481025250853003 0.481025250853003 0.999021971307823 0.931128319206047 0.955102248608617 0.991737329782789 0.798456373230683 0.982647298130939 0.0584314477536512 0.00860076758833788 0.193560779713325 0.105642799145958 0.52985784773238 0.0584314477536512 0.0102797517901276
"16" 16 0.851158401473973 0.864570034761694 0.125293238130246 0.182227294579098 0.255568672272708 0.29634851740641 0.83265399115158 0.48372125681433 0.250342601038702 0.627092921506398 0.137033208065848 0.137033208065848 0.762525624257554 0.946688300921125 0.658106953919278 0.971299761042299 0.524271020737567 0.587986416593971 0.0280296369732775 0.0181641079159326 0.497818255902263 0.212866778599968 0.0612545882232755 0.0280296369732775 0.00999542033143177
"17" 17 0.152307773386571 0.686871069015131 0.178418365234349 0.10912675236708 0.208397699408701 0.204627193603265 0.51774409328099 0.567298723615395 0.14020899114111 0.408832586926997 0.683733383090773 0.683733383090773 0.704647495857807 0.84727811215346 0.711604587466976 0.990712563565911 0.980612230865622 0.546363781303042 0.0189220747800125 0.0157235352439775 0.521847314781269 0.325283735543383 0.398042061854998 0.0189220747800125 0.00933895595504407
"18" 18 0.680797208998036 0.995925283409888 0.893674740404029 0.436042671137324 0.611291008221291 0.476353025710368 0.919835869398875 0.174125914772465 0.849692657099892 0.94563724348536 0.678687871981482 0.678687871981482 0.958609984507343 0.975264678622531 0.929025932249773 0.993182156520305 0.867078209952707 0.921612686807251 0.00321549765314803 0.117797119741273 0.0222109245959321 0.059390637452729 0.0291889984749013 0.00321549765314803 0.00907609624831163
"19" 19 0.296748825296189 0.982879208075196 0.734308867219513 0.703446287396622 0.837214344355085 0.456570441414349 0.727168131867822 0.0822885708168647 0.18613409885521 0.890306451008326 0.442052722085394 0.442052722085394 0.975094562202424 0.915954146444279 0.976358483747633 0.992099139101041 0.788111533616957 0.980140837937144 0.00629161619558046 0.33870085005343 0.353331159490595 0.0659835713395677 0.0381969444716125 0.00629161619558046 0.00876164210239733
"20" 20 0.679916201140233 0.999834052257298 0.995378467928528 0.404725676309224 0.394779218749357 0.297157399721093 0.983535832483745 0.390137124578661 0.0468484954331738 0.989107894286689 0.932796850364187 0.932796850364187 0.991657776661399 0.994928535904366 0.985624682638328 0.998615835717244 0.972842505918502 0.984159347213721 0.00131364425014784 0.471672884858169 0.978912725248531 0.976613388972608 0.236905101128741 0.00131364425014784 0.00815438589150667
"21" 21 0.706040149760833 0.941518722422646 0.735401422897079 0.612690871162417 0.742964249807629 0.721310064252234 0.865873868096502 0.482135265912163 0.913714580873755 0.738956779612869 0.91768466546721 0.91768466546721 0.868643630499816 0.960346260498844 0.853772186257487 0.992629507119409 0.927097253458067 0.785182376626202 0.00068437133768794 0.0924668811099642 0.310315765731066 0.293033746412957 0.391187580147618 0.00068437133768794 0.00780260336484561
"22" 22 0.57347225584978 0.977687515545882 0.372492115531342 0.137308717821718 0.109708742315284 0.121852411559124 0.695455106634031 0.0306125606879278 0.938658999859984 0.919017335776269 0.18566619879978 0.18566619879978 0.912726540468597 0.904699686715848 0.822392581275995 0.980361022638083 0.60649865813939 0.823684757344924 0.00479735854599741 0.870745109870844 0.820795917881705 0.61100557864236 0.018905241540562 0.00479735854599741 0.00749159588405291
"23" 23 0.527044635935602 0.996380731420474 0.901320345844081 0.644900631743833 0.764940241725945 0.787130885278903 0.920880323774202 0.807558677663168 0.650714290662966 0.949765974432225 0.688296057429878 0.688296057429878 0.961080842939112 0.975605627868242 0.93249699508268 0.993451761700352 0.871613225127043 0.925969641618069 0.0233673013336144 0.0566479827268171 0.548758639756622 0.648532159432921 0.96741892270836 0.0233673013336144 0.00703458943006354
"24" 24 0.265459003915472 0.973345571022209 0.803457530329843 0.0969208940929051 0.192086556386225 0.0796595243278996 0.751690709198396 0.949116891448797 0.561598431548501 0.83720746092799 0.580033047549023 0.580033047549023 0.941289075507048 0.924081413704516 0.973628338471609 0.99621245106734 0.859617013374947 0.91941657727283 0.00721178059812238 0.626800285311083 0.101293867828332 0.729640378188648 0.746737477506842 0.00721178059812238 0.00693276558101984
