"PC" "lib.size" "batch" "Island" "Sampling.Site" "Language" "Sampling.Date" "Age" "RNA.Extraction.Batch" "Sequencing.pool" "RIN" "Mappi" "Season" "Gran" "Bcell" "CD4T" "CD8T" "NK" "Mono" "ID" "replicate" "microscopy.pos" "PCR.pos" "fract.pfpx.reads" "ind" "Variance"
"25" 25 0.219444587596094 0.806943739299973 0.298385313822715 0.0606119928028533 0.0463817844019992 0.0697208773145067 0.690672667345147 0.275738674560617 0.381015934416845 0.853723842835064 0.46907493382274 0.46907493382274 0.966023377684735 0.55790937093404 0.762259665937098 0.863484836628876 0.352305035597898 0.94330845747728 1.42353577152773e-05 0.822956853837907 0.0951287763301742 0.136670190573631 0.136766980021132 1.42353577152773e-05 0.00520760391904792
"26" 26 0.695874354480396 0.481091263952024 0.65960319195164 0.562852715485756 0.577927315064342 0.569478027799315 0.949150679428352 0.0168478318473476 0.935311666466258 0.71854214220848 0.685571249255847 0.685571249255847 0.944213437362856 0.688324324782716 0.613527807462463 0.59196362328744 0.0808712974869683 0.814470480510254 2.6334087197367e-09 0.379069911843843 0.859974186146576 0.213884190564631 0.236614866922564 2.6334087197367e-09 0.00492441667479256
"27" 27 0.191140844462432 0.720835828132209 0.738775316117269 0.0469638900623957 0.0988482148227262 0.0990251929852512 0.83428888329505 0.601076215126534 0.834452401842764 0.308351981135757 0.435523212776714 0.435523212776714 0.750220697112028 0.454723071218296 0.779373853883157 0.678547473051316 0.397840483610063 0.708021114454232 2.66334423639396e-08 0.0636176687222371 0.751323986775529 0.492231549791712 0.351299930565999 2.66334423639396e-08 0.00488076776833637
"28" 28 0.734936798946941 0.933095894755108 0.458021574407104 0.441162679988117 0.286455210994093 0.610343599518296 0.0220161150190237 0.303626402604213 0.948202265498106 0.742251641454285 0.268671879421478 0.268671879421478 0.919639108969524 0.543228076684787 0.633677370485263 0.324913062310676 0.486803289754899 0.709572833272099 2.08202053882081e-05 0.02289497886006 0.693438399116529 0.375842328788002 0.865423325751987 2.08202053882081e-05 0.00480463214769592
"29" 29 0.900919571981648 0.690149320971251 0.834958472874318 0.564309760649639 0.617281800409968 0.733459478326316 0.0923802938220828 0.492357661986281 0.225342029692345 0.368729765241813 0.547395235375436 0.547395235375436 0.507494024621087 0.115932998180043 0.365433703593979 0.461826763472177 0.778481073733401 0.78506440310886 5.33067208017403e-06 0.0655878137650677 0.750007653672669 0.367092412782568 0.870343719790027 5.33067208017403e-06 0.00455826869427908
"30" 30 0.793795720391279 0.915238896722251 0.701181203044774 0.289137202660686 0.247325414257667 0.26857565377526 0.458020175066916 0.277698434257018 0.0882678114828922 0.601633186982086 0.97325221654699 0.97325221654699 0.869497303509467 0.452102580896878 0.324977970322121 0.498856140526233 0.751531136304395 0.762005254038459 4.64027843752811e-07 0.56033604685158 0.746540936027325 0.470580470940926 0.313171795654012 4.64027843752811e-07 0.00446414374903765
"31" 31 0.818731023050168 0.038111179071299 0.76677615658021 0.139348446234424 0.183386396342637 0.124134050934591 0.611647232493305 0.61796179127599 0.039205859730656 0.197733396420381 0.938461640033536 0.938461640033536 0.970222567051961 0.763040581130742 0.697106579323471 0.452952181108557 0.822043634133533 0.804792709718043 8.75354237952808e-06 0.644364345158136 0.105566526890252 0.0329889175516028 0.54874605834203 8.75354237952808e-06 0.00444052193242718
"32" 32 0.502662411432836 0.545112048780962 0.946945760660765 0.742555667510885 0.720380947287919 0.705575393763949 0.0270262939659449 0.584973590593857 0.99859564994034 0.919754497623197 0.784150393282126 0.784150393282126 0.799897435457712 0.87259769850941 0.875256806430961 0.314360454323283 0.192191883268871 0.74590881637933 5.3793289622981e-08 0.2726455995964 0.822259460853415 0.578542148220364 0.627111060206184 5.3793289622981e-08 0.00437969929999009
"33" 33 0.383055624933484 0.642987274042828 0.989336718483845 0.160674395002053 0.176436316098149 0.168431095236104 0.388676286626283 0.0959503182042907 0.168269127319248 0.602938220665145 0.920379400926294 0.920379400926294 0.626304160644384 0.728830462855743 0.958351013805783 0.802809706636666 0.27113900509683 0.873540640513319 1.88696166902572e-05 0.929569280892539 0.54039560527623 0.30009129105762 0.0196023487938971 1.88696166902572e-05 0.00432719777930717
"34" 34 0.462013545052244 0.502992053283539 0.939470137371865 0.854809471788357 0.439232696237937 0.718795952073327 0.977022859198058 0.924310301262278 0.372323153109561 0.585755951296109 0.861945008790357 0.861945008790357 0.740717262853616 0.853784195725538 0.946926081330377 0.496537663761253 0.404764355989145 0.896063986919926 1.54536810411358e-08 0.728000685922181 0.407296926710804 0.508728794072199 0.338328341253398 1.54536810411358e-08 0.00406571398330412
